Index,MiseStress,U.Mag,U.U1,U.U2,U.U3,x,y,z
276,0.0,75.1352202484,1.46519747222e-13,75.1352202484,1.46519747222e-13,350.600006,79.55,514.0
277,0.0,0.0,0.0,0.0,0.0,350.600006,112.5,434.48
278,0.0,0.0,0.0,0.0,0.0,350.600006,98.4375,380.17
279,0.0,0.0,0.0,0.0,0.0,350.600006,84.375,325.86
280,0.0,0.0,0.0,0.0,0.0,350.600006,70.3125,271.55
281,0.0,0.0,0.0,0.0,0.0,350.600006,56.25,217.24
282,0.0,0.0,0.0,0.0,0.0,350.600006,42.1875,162.93
283,0.0,0.0,0.0,0.0,0.0,350.600006,28.125,108.62
284,0.0,0.0,0.0,0.0,0.0,350.600006,14.0625,54.31
285,0.00535642347061,60.6978952521,-3.13652609098e-14,-60.6978952521,-3.13652609098e-14,375.299988,-14.0625,54.31
286,0.0,0.0,0.0,0.0,0.0,375.299988,-28.125,108.62
287,0.0,0.0,0.0,0.0,0.0,375.299988,-42.1875,162.93
288,0.0,0.0,0.0,0.0,0.0,375.299988,-56.25,217.24
289,0.0,0.0,0.0,0.0,0.0,375.299988,-70.3125,271.55
290,0.0,0.0,0.0,0.0,0.0,375.299988,-84.375,325.86
291,0.0,0.0,0.0,0.0,0.0,375.299988,-98.4375,380.17
292,0.0,0.0,0.0,0.0,0.0,375.299988,-112.5,434.48
293,0.0,28.8833948442,1.10977766595,5.7385672008,1.10977766595,375.299988,-79.55,514.0
294,0.0,-29.7134037351,-5.76557647134e-14,-29.7134037351,-5.76557647134e-14,375.299988,0.0,547.0
295,0.0,74.5710037351,1.44697264713e-13,74.5710037351,1.44697264713e-13,375.299988,79.55,514.0
296,0.0,0.0,0.0,0.0,0.0,375.299988,112.5,434.48
297,0.0,0.0,0.0,0.0,0.0,375.299988,98.4375,380.17
298,0.0,0.0,0.0,0.0,0.0,375.299988,84.375,325.86
299,0.0,0.0,0.0,0.0,0.0,375.299988,70.3125,271.55
300,0.0,0.0,0.0,0.0,0.0,375.299988,56.25,217.24
301,0.0,0.0,0.0,0.0,0.0,375.299988,42.1875,162.93
302,0.0,0.0,0.0,0.0,0.0,375.299988,28.125,108.62
303,0.0,0.0,0.0,0.0,0.0,375.299988,14.0625,54.31
304,0.00486486759019,60.8472354355,-3.18371047749e-14,-60.8472354355,-3.18371047749e-14,400.0,-14.0625,54.31
305,0.0,0.0,0.0,0.0,0.0,400.0,-28.125,108.62
306,0.0,0.0,0.0,0.0,0.0,400.0,-42.1875,162.93
307,0.0,0.0,0.0,0.0,0.0,400.0,-56.25,217.24
308,0.0,0.0,0.0,0.0,0.0,400.0,-70.3125,271.55
309,0.0,0.0,0.0,0.0,0.0,400.0,-84.375,325.86
310,0.0,0.0,0.0,0.0,0.0,400.0,-98.4375,380.17
311,0.0,0.0,0.0,0.0,0.0,400.0,-112.5,434.48
312,0.0,28.8334793518,1.09835323867,5.48354303321,1.09835323867,400.0,-79.55,514.0
313,0.0,-29.4905081643,-5.75546171542e-14,-29.4905081643,-5.75546171542e-14,400.0,0.0,547.0
314,0.0,74.0116081643,1.44443417154e-13,74.0116081643,1.44443417154e-13,400.0,79.55,514.0
315,0.0,0.0,0.0,0.0,0.0,400.0,112.5,434.48
316,0.0,0.0,0.0,0.0,0.0,400.0,98.4375,380.17
317,0.0,0.0,0.0,0.0,0.0,400.0,84.375,325.86
318,0.0,0.0,0.0,0.0,0.0,400.0,70.3125,271.55
319,0.0,0.0,0.0,0.0,0.0,400.0,56.25,217.24
